Category,Type,Quote,Criteria,Direction,Notes,
Actor,AI Developer (General-purpose AI),General-purpose AI developers and governance actors are primarily responsible: they shape both the technological foundations and the regulatory environment.,Responsibility,Higher,,
Actor,AI Developer (General-purpose AI),AI developer (general purpose): foundation model design/training choices create/increase bias at scale across ecosystems.,Responsibility,Higher,,
Actor,AI Developer (General-purpose AI),Developers know the full picture of AI systems being deployed including training data sources data filtering processes system prompts and safety guidelines. They operate at the foundation of everything. With their technical expertise (high ability) they have a professional obligation to detect and thoroughly test models for potential bias and discrimination (high obligation).,Responsibility,Higher,,
Actor,AI Developer (General-purpose AI),AI developers hold ultimate power to shape AI systems at their root (high exposure). Unlike AI deployers they have the advantage of full awareness of their model's inner workings including system prompts and training data used in development.,Responsibility,Higher,,
Actor,AI Developer (General-purpose AI),General-purpose AI developers are primarily responsible since bias often originates in design and training.,Responsibility,Higher,,
Actor,AI Developer (General-purpose AI),AI developer (general purpose):- less direct end-user harm but exposed to reputational contractual and regulatory risks.,Vulnerability,Higher,,
Actor,AI Developer (General-purpose AI),Generally I hold all actors responsible in a shared model to handle the risks from unfair discrimination and misrepresentation. I also strongly believe that foundation models need to show more responsibility than what we see them doing today.,Responsibility,Higher,,
Actor,AI Developer (General-purpose AI),I believe that the AI developers should have the highest responsibility whilst the other actors should also have 'shared responsibility' to different extents which I believe would be brought out via this research work.,Responsibility,Higher,,
Actor,AI Developer (General-purpose AI),AI developer - They make fundamental design decisions that determine whether discrimination gets built into systems. Their technical expertise makes them uniquely positioned to implement fairness measures.,Responsibility,Higher,,
Actor,AI Developer (General-purpose AI),Whoever develops and adopts an AI System is highly responsible for managing these design risks.,Responsibility,Higher,"Not likely to be useful for experts to update their assessments, exclude",
Actor,AI Developer (General-purpose AI),Given the state of information asymmetry about model discrimination risks all actors serving that product to the user are fully responsible (AI developer AI deployer specialized AI Infra Provider Governance Actor).,Responsibility,Higher,,
Actor,AI Developer (General-purpose AI),Those that develop the algorithms must provide as much clear information as is needed for users and deployers to have the data they need to make an informed decision on it's use.,Responsibility,Higher,,
Actor,AI Developer (General-purpose AI),Developers and deployers are at the core because design choices training data selections.,Responsibility,Higher,,
Actor,AI Developer (General-purpose AI),Bias is within the training data and training processes ergo responsibility sits with the model trainers. Not all providers will do this and so policing monitoring and enforcement sits with governance actors.,Responsibility,Higher,,
Actor,AI Developer (Specialized AI),Specialized developers and deployers are highly responsible since they decide how AI is applied in sensitive contexts and they have both the technical and organizational capacity to mitigate risks.,Responsibility,Higher,,
Actor,AI Developer (Specialized AI),AI developer — specialised AI: High-stakes domains (e.g. health/defence/finance) magnify harm if models are not safe and provide incorrect/inaccurate outputs.,Responsibility,Higher,,
Actor,AI Developer (Specialized AI),AI developer — specialised AI -Developers must ensure representation and accuracy are embedded in ai systems with critical domains.,Responsibility,Higher,,
Actor,AI Developer (Specialized AI),Developers of specialized AI bear responsibility not only for technical model details but also carry even greater responsibility than general-purpose AI developers due to their domain expertise.,Responsibility,Higher,,
Actor,AI Developer (Specialized AI),Responsibility of the Specialized AI developers is entirely contingent on the domain of the model and its application,Commentary,,,
Actor,AI Deployer,AI deployer: Select models data and controls in real world environment where harms occur.,Responsibility,Higher,,
Actor,AI Deployer,Specialized developers and deployers are highly responsible since they decide how AI is applied in sensitive contexts.,Responsibility,Higher,,
Actor,AI Deployer,AI deployer:- Deploy and integrate AI into products/services—biased outputs can trigger legal operational and reputational harm.,Vulnerability,Higher,,
Actor,AI Deployer,AI Deployers are highly vulnerable since discriminatory outputs can damage their customers employees and reputation leading to legal and operational consequences.,Vulnerability,Higher,,
Actor,AI Deployer,Deployer and User have primary responsibility to ensure that the system they are deploying/using is appropriate for the stakeholders that will be (directly)affected by the AI.,Responsibility,Higher,,
Actor,AI Deployer,AI deployers are highly responsible for through testing of the AI system they deploy creating their own system prompts to guide model behavior customizing models for their specific use cases and establishing safety guidelines for models to follow (high obligation and high causal influence). However their ability is constrained when using closed-source models.,Responsibility,"Higher, Lower",,
