Category Type,Category,Quote,Criteria,Direction,QA Status,Notes
Actor,General,"There is always a residual risk for all industries. Rating is directly proportional to the decision-intensity of the industry, its reliance on information/content and the impact each decision has on other stakeholders and/or the decisions they make.",Vulnerability,Higher,complete,
Actor,General,It's a reverse relation: Relationship vs. Vulnerability,Vulnerability,Mixed,complete,Don't use - not enough context to be useful 
Sector,General,As with previous comment all sectors are vulnerable - it is difficult to separate this out across domains,Vulnerability,Higher,complete,
Actor,General,"In a real setting, I use the technical analysis of adversarial testing to get toxic responses, data annotation issues (e.g. abusive language), predefined list of toxic words, sentiment analysis on tested outputs",Vulnerability,Neutral,complete,Don't use - not enough context to be useful (checked and this quote wasn't spliced by Claude)
Actor,General,"Every human being on the planet. Go back to 2023, and read the articles from the Guardian, Time Magazine, CBS News, Business Insider, Slate and even Microsoft on how the Kenyans suffered extreme mental health issues labeling the data for OpenAI ChatGPT.",Vulnerability,Higher,complete,
Actor,General,The listed above entities are responsible for corporate exposure.,Responsibility,Higher,complete,Don't use - not enough context to be useful 
Sector,Information,Information is extremely vulnerable since toxic content spreads rapidly via social platforms and recommender systems.,Vulnerability,Higher,complete,
Sector,Health Care and Social Assistance,"Health care, education, arts, and public administration are highly vulnerable due to reputational and social harms when toxic AI outputs erode trust.",Vulnerability,Higher,complete,
Sector,Educational Services,"Health care, education, arts, and public administration are highly vulnerable due to reputational and social harms when toxic AI outputs erode trust.",Vulnerability,Higher,complete,
Sector,"Arts, Entertainment, and Recreation","Health care, education, arts, and public administration are highly vulnerable due to reputational and social harms when toxic AI outputs erode trust.",Vulnerability,Higher,complete,
Sector,Public Administration excluding National Security,"Health care, education, arts, and public administration are highly vulnerable due to reputational and social harms when toxic AI outputs erode trust.",Vulnerability,Higher,complete,
Sector,Finance and Insurance,"Finance, professional services, and administrative services are moderately vulnerable because toxicity undermines reliability but isn't typically life-critical.",Vulnerability,Lower,complete,
Sector,Professional and Technical Services,"Finance, professional services, and administrative services are moderately vulnerable because toxicity undermines reliability but isn't typically life-critical.",Vulnerability,Lower,complete,
Sector,"Management, Administrative, and Support Services","Finance, professional services, and administrative services are moderately vulnerable because toxicity undermines reliability but isn't typically life-critical.",Vulnerability,Lower,complete,
Sector,"Agriculture, Mining, Construction and Manufacturing",Agriculture and scientific R&D are minimally vulnerable as their exposure to toxic outputs is limited.,Vulnerability,Lower,complete,
Sector,Scientific Services,Agriculture and scientific R&D are minimally vulnerable as their exposure to toxic outputs is limited.,Vulnerability,Lower,complete,
Actor,AI Developer (General-purpose AI),General-purpose developers are primarily responsible since toxic generation begins at the foundation model.,Responsibility,Higher,complete,
