Category Type,Category,Quote,Criteria,Direction,QA Status ,Comments
Actor,General,"I tried to focus on specific cases that I am aware of, but I am not sure the sector categorization is the most suitable. For example, where do Deliveroo riders fit?",Vulnerability,Neutral,complete,
Actor,AI Developer (General-purpose AI),"Bias in AI and datasets are issues primarily known by AI developers and AI providers, who are the only ones with actual power to do something about it. So they should be the most responsible.",Responsibility,Higher,complete,
Actor,AI Infrastructure Provider,"Bias in AI and datasets are issues primarily known by AI developers and AI providers, who are the only ones with actual power to do something about it. So they should be the most responsible.",Responsibility,Higher,complete,
Actor,Finance and Insurance,"Service industries as well as public services to the general population. For example, pricing inequalities in insurance.",Vulnerability,Higher,complete,"doesn't provide reasoning, not useful, exclude"
Actor,General,AI System Owners (unless it is the same thing as Deployer). It is essential to ensure clear accountability is established.,Responsibility,Higher,complete,"not useful, exclude"
Actor,General,inversely proportional to vulnerability in this case,Responsibility,Neutral,complete,"not useful, exclude"
Actor,AI User,"My assessments reflect both direct and systemic exposure to unequal AI performance. AI users and affected stakeholders are extremely vulnerable, since they are the ones who experience inaccurate or unfair outcomes (e.g., patients misdiagnosed, students mis-scored, applicants denied opportunities).",Vulnerability,Higher,complete,
Actor,Affected Stakeholder,"My assessments reflect both direct and systemic exposure to unequal AI performance. AI users and affected stakeholders are extremely vulnerable, since they are the ones who experience inaccurate or unfair outcomes (e.g., patients misdiagnosed, students mis-scored, applicants denied opportunities).",Vulnerability,Higher,complete,
Actor,AI Deployer,"Deployers and specialized developers are highly vulnerable, as biased performance in their systems creates legal, reputational, and operational consequences.",Vulnerability,Higher,complete,
Actor,AI Developer (Specialized AI),"Deployers and specialized developers are highly vulnerable, as biased performance in their systems creates legal, reputational, and operational consequences.",Vulnerability,Higher,complete,
Sector,Finance and Insurance,"Finance, healthcare, and education are the most vulnerable sectors, because group-level disparities in accuracy directly affect rights, health, and life opportunities.",Vulnerability,Higher,complete,
Sector,Health Care and Social Assistance,"Finance, healthcare, and education are the most vulnerable sectors, because group-level disparities in accuracy directly affect rights, health, and life opportunities.",Vulnerability,Higher,complete,
Sector,Educational Services,"Finance, healthcare, and education are the most vulnerable sectors, because group-level disparities in accuracy directly affect rights, health, and life opportunities.",Vulnerability,Higher,complete,
Sector,Public Administration excluding National Security,"Public administration is also highly exposed, as unequal treatment in welfare or justice undermines equity and trust.",Vulnerability,Higher,complete,
Sector,"Agriculture, Mining, Construction and Manufacturing","By contrast, manufacturing and R&D are less vulnerable, with exposure limited to secondary effects such as biased datasets or workforce allocation.",Vulnerability,Lower,complete,
Sector,Scientific Services,"By contrast, manufacturing and R&D are less vulnerable, with exposure limited to secondary effects such as biased datasets or workforce allocation.",Vulnerability,Lower,complete,
Actor,General,"An additional actor that should be considered responsible is the standardization and certification bodies (e.g., ISO, professional accreditation agencies). They play a crucial role in setting benchmarks for testing AI performance across groups and ensuring that fairness metrics are systematically applied in practice. Their responsibility lies in providing independent, enforceable standards that complement regulation and technical development.",Responsibility,Higher,complete,"suggestion for additional actor, suggest removing - or are these part of AI governance actors?"
Actor,AI Developer (General-purpose AI),"My responsibility assessments emphasize that accountability should be placed on those who have both causal influence and capacity. General-purpose developers and governance actors are primarily responsible, as they define the foundations and frameworks for fairness.",Responsibility,Higher,complete,
Actor,AI Governance Actor,"My responsibility assessments emphasize that accountability should be placed on those who have both causal influence and capacity. General-purpose developers and governance actors are primarily responsible, as they define the foundations and frameworks for fairness.",Responsibility,Higher,complete,
Actor,AI Developer (Specialized AI),"Specialized developers and deployers are highly responsible, because they control application in sensitive domains and can mitigate performance disparities.",Responsibility,Higher,complete,
Actor,AI Deployer,"Specialized developers and deployers are highly responsible, because they control application in sensitive domains and can mitigate performance disparities.",Responsibility,Higher,complete,
Actor,AI Infrastructure Provider,"Infrastructure providers have only a marginal role, while users and affected stakeholders cannot reasonably be held responsible since they lack agency and resources.",Responsibility,Lower,complete,
Actor,AI User,"Infrastructure providers have only a marginal role, while users and affected stakeholders cannot reasonably be held responsible since they lack agency and resources.",Responsibility,Lower,complete,
Actor,Affected Stakeholder,"Infrastructure providers have only a marginal role, while users and affected stakeholders cannot reasonably be held responsible since they lack agency and resources.",Responsibility,Lower,complete,
Actor,General,"Independent standardization bodies should also be included as responsible actors, as they are key in defining measurable fairness criteria across industries.",Responsibility,Higher,complete,"not sure if this belongs in governance actors? if suggestion for new actor, remove"
Sector,Finance and Insurance,"The greatest vulnerabilities appear in finance, healthcare, information services, and national secutity, where bias AI decisions can cause large-scale and irreversible harm.",Vulnerability,Higher,complete,
Sector,Health Care and Social Assistance,"The greatest vulnerabilities appear in finance, healthcare, information services, and national secutity, where bias AI decisions can cause large-scale and irreversible harm.",Vulnerability,Higher,complete,
Sector,Information,"The greatest vulnerabilities appear in finance, healthcare, information services, and national secutity, where bias AI decisions can cause large-scale and irreversible harm.",Vulnerability,Higher,complete,
Sector,National Security,"The greatest vulnerabilities appear in finance, healthcare, information services, and national secutity, where bias AI decisions can cause large-scale and irreversible harm.",Vulnerability,Higher,complete,
Actor,AI Developer (General-purpose AI),AI developers are the root cause of technical disparities.,Responsibility,Higher,complete,
Actor,AI Deployer,AI deployers operationalize fairness.,Responsibility,Higher,complete,
Actor,AI Governance Actor,Governance actors enforce compliance.,Responsibility,Higher,complete,
Actor,General,Same reasoning as applied to 1.2,Responsibility,Neutral,complete,exclude - incomplete/empty
Actor,General,Governments/regulators?,Responsibility,Higher,complete,exclude - incomplete/empty
Actor,General,None,Responsibility,Neutral,complete,exclude - incomplete/empty
Actor,General,No,Responsibility,Neutral,complete,exclude - incomplete/empty
Actor,General,No,Responsibility,Neutral,complete,exclude - incomplete/empty
Sector,Finance and Insurance,"Sectors like Finance, Healthcare, National Security, and Information should be rated extremely vulnerable due to the combination of historical inequities, high-stakes outcomes, and widespread AI deployment.",Vulnerability,Higher,complete,
