Category,Type,Quote,Criteria,Direction,QA Status ,Comments
Actor,AI Developer (General-purpose AI),General-purpose developers infrastructure providers and governance actors are primarily responsible as they determine security architectures and enforce compliance.,Responsibility,Higher,,
Actor,AI Developer (General-purpose AI),AI Developers (General-purpose) and Infrastructure Providers are primarily rated as responsible due to their obligation to implement secure-by-design principles their capability to develop security measures and patch vulnerabilities and their direct causal influence through system architecture decisions.,Responsibility,,,
Actor,AI Developer (General-purpose AI),General-purpose developers and infrastructure providers carry primary responsibility as they design the foundational systems where vulnerabilities originate.,Responsibility,Higher,,
Actor,AI Developer (General-purpose AI),AI Developers Deployers and Infrastructure Providers are rated extremely vulnerable due to their direct exposure to system architecture development toolchains and hardware vulnerabilities.,Vulnerability,Higher,,
Actor,AI Developer (General-purpose AI),AI Developer (General-purpose AI) -Core design and training choices determine if vulnerabilities exist (e.g. data poisoning backdoors).,Responsibility,Higher,,
Actor,AI Developer (General-purpose AI),General-purpose AI Developers and Deployers carry the highest responsibility because they directly influence how AI systems behave and are exposed to real-world threats.,Responsibility,Higher,,
Actor,AI Developer (General-purpose AI),AI Deployer and General-purpose AI Developers are rated Extremely vulnerable because they are closest to the operational and foundational layers of AI systems. A breach here can lead to widespread consequences.,Vulnerability,Higher,,
Actor,AI Developer (General-purpose AI),Developers of AI systems have the highest responsibility for addressing system security vulnerabilities and attacks because they either produced the product with the vulnerabilities and attack surface under discussion (including depending on specific infrastructure that could be the entry for the attack).,Responsibility,Higher,,
Actor,AI Developer (General-purpose AI),The developer and the deployer are the primary responsible parties in the event of failures here the developer for developing an insecure toolkit and the deployer for electing to use it without proper risk assessment.,Responsibility,Higher,,
Actor,AI Developer (General-purpose AI),Primary responsibility lies with developers deployers and infrastructure providers as they design and control the conditions under which overreliance occurs.,Responsibility,Higher,,
Actor,AI Developer (Specialized AI),Specialized developers and deployers are highly responsible because they operate systems in sensitive environments and must implement robust protections.,Responsibility,Higher,,
Actor,AI Developer (Specialized AI),Deployers and specialized developers are highly responsible for secure integration and domain-specific protections.,Responsibility,Higher,,
Actor,AI Developer (Specialized AI),AI Developer (Specialized AI) - Fine-tuning for sensitive domains (e.g. health finance) requires robust safeguards.,Responsibility,Higher,,
Actor,AI Developer (Specialized AI),Developers of Specialized AI have more responsibility than developers of general-purpose AI because the landscape of vulnerabilities and attacks should be smaller in the former case.,Responsibility,Higher,,
Actor,AI Developer (Specialized AI),Specialized AI Developers are key targets due to their proximity to model weights and deployment pathways.,Vulnerability,Higher,,
Actor,AI Developer (Specialized AI),AI Developers especially those working on specialized systems are at the highest risk due to their proximity to sensitive technologies and potential for misuse.,Vulnerability,Higher,,
Actor,AI Deployer,Specialized developers and deployers are highly responsible because they operate systems in sensitive environments and must implement robust protections.,Responsibility,Higher,,
Actor,AI Deployer,Deployers and Governance Actors are highly responsible for secure deployment practices and enforcing security policies.,Responsibility,Higher,,
Actor,AI Deployer,Deployers and specialized developers are highly responsible for secure integration and domain-specific protections.,Responsibility,Higher,,
Actor,AI Deployer,AI Deployer - Secure deployment API management and contextual safeguards are critical in live environments.,Responsibility,Higher,,
Actor,AI Deployer,AI Deployers and Governance Actors are highly responsible as they control the deployment and regulation of these systems.,Responsibility,Higher,,
Actor,AI Deployer,General-purpose AI Developers and Deployers carry the highest responsibility because they directly influence how AI systems behave and are exposed to real-world threats.,Responsibility,Higher,,
