Category,Type,Quote,Criteria,Direction,
Actor,AI Developer (General-purpose AI),general-purpose developers and deployers are primarily responsible as they design and operate the systems that most often generate and distribute false or misleading information.,Responsibility,Higher,
Actor,AI Developer (General-purpose AI),AI Developers (General-purpose and Specialized): Primarily responsible. They build the foundational architecture and tuning protocols that determine how information is generated filtered and validated. Without built-in alignment safeguards drift becomes inevitable.,Responsibility,Higher,
Actor,AI Developer (General-purpose AI),AI Developer (General-purpose AI) — Extremely vulnerable: These models are trained on massive datasets with limited filtering capabilities and are often used across high-stakes contexts.,Vulnerability,Higher,
Actor,AI Developer (General-purpose AI),AI Developer (General-purpose) - Extremely Vulnerable: While developers have full awareness of their systems' inner workings they must mitigate false and misinformation across various use cases. When false information emerges from their systems responsibility traces directly back to them resulting in lawsuits reputation damage and investor withdrawal.,Vulnerability,Higher,
Actor,AI Developer (General-purpose AI),AI Developer (General-purpose) - Primarily Responsible: Developers have complete knowledge of their systems including training data system prompts and safety guidelines. With high technical ability and obligation they operate at the foundation level where false information originates.,Responsibility,Higher,
Actor,AI Developer (Specialized AI),Specialized developers are highly responsible in critical domains such as healthcare education or justice where misinformation has immediate harmful effects.,Responsibility,Higher,
Actor,AI Developer (Specialized AI),AI Developer (Specialized AI) - Primarily Responsible: These developers bear even greater responsibility than general-purpose developers due to their domain expertise. When specialized systems still produce false information in their area of expertise it's more severe. they possess both technical knowledge and domain understanding necessary for accurate information delivery.,Responsibility,Higher,
Actor,AI Deployer,general-purpose developers and deployers are primarily responsible as they design and operate the systems that most often generate and distribute false or misleading information.,Responsibility,Higher,
Actor,AI Deployer,AI Deployers: Highly responsible. They decide how where and to whom these models are deployed. If deployment occurs in sensitive contexts (e.g. healthcare education law) oversight mechanisms must be in place.,Responsibility,Higher,
Actor,AI Deployer,AI Deployer — Extremely vulnerable: Deployment choices (e.g. context prompts guardrails) can unintentionally enable misinformation spread at scale especially in public-facing applications.,Vulnerability,Higher,
Actor,AI Deployer,AI deployers and developers are highly vulnerable to reputational damage and concerns about system reliability.,Vulnerability,Higher,
Actor,AI Deployer,AI Deployer - Highly Responsible: Deployers must thoroughly test systems and create appropriate safety guidelines giving them high obligation and causal influence. However their ability is constrained with closed-source models where they lack access to inner workings and original system prompts that guide behavior.,Responsibility,Higher,
Actor,AI Deployer,AI Deployers are responsible for the use of models within a context. Stochastic models should not be treated as oracles of ground truth - some other curated reference should be used to establish veracity. AI Deployers are responsible for indicating when responses come strictly for models or when there is associated ground truth data to establish their claims.,Responsibility,Higher,
Actor,AI Governance Actor,Governance actors are also highly responsible since effective regulation and auditing frameworks are required to ensure systemic accountability.,Responsibility,Higher,
Actor,AI Governance Actor,AI Governance Actors: Primarily responsible. These actors are uniquely positioned to enforce standards compliance and auditability across the ecosystem. Without governance no accountability loop is closed.,Responsibility,Higher,
