Category,Type,Quote,Criteria,Direction,QA Status,Comments
Sector,Information,"The most vulnerable sectors to information ecosystem pollution are information/media, healthcare, education, and national security, as misinformation directly affects public trust, health, civic participation, and democratic stability.",Vulnerability,Higher,complete,
Sector,Health Care and Social Assistance,"The most vulnerable sectors to information ecosystem pollution are information/media, healthcare, education, and national security, as misinformation directly affects public trust, health, civic participation, and democratic stability.",Vulnerability,Higher,complete,
Sector,Educational Services,"The most vulnerable sectors to information ecosystem pollution are information/media, healthcare, education, and national security, as misinformation directly affects public trust, health, civic participation, and democratic stability.",Vulnerability,Higher,complete,
Sector,National Security,"The most vulnerable sectors to information ecosystem pollution are information/media, healthcare, education, and national security, as misinformation directly affects public trust, health, civic participation, and democratic stability.",Vulnerability,Higher,complete,
Sector,Finance and Insurance,"Finance and public administration are also highly exposed, since disinformation campaigns can destabilize markets and erode institutional legitimacy.",Vulnerability,Higher,complete,
Sector,Public Administration excluding National Security,"Finance and public administration are also highly exposed, since disinformation campaigns can destabilize markets and erode institutional legitimacy.",Vulnerability,Higher,complete,
Sector,"Agriculture, Mining, Construction and Manufacturing","Sectors such as manufacturing or real estate are less directly vulnerable, with limited systemic exposure.",Vulnerability,Lower,complete,
Sector,Real Estate and Rental and Leasing,"Sectors such as manufacturing or real estate are less directly vulnerable, with limited systemic exposure.",Vulnerability,Lower,complete,
Actor,AI Developer (General-purpose AI),"My assessments highlight that general-purpose developers and deployers are primarily responsible, since they create and distribute the AI systems that can pollute the information ecosystem.",Responsibility,Higher,complete,
Actor,AI Deployer,"My assessments highlight that general-purpose developers and deployers are primarily responsible, since they create and distribute the AI systems that can pollute the information ecosystem.",Responsibility,Higher,complete,
Actor,AI Governance Actor,"Governance actors are highly responsible, as regulation, transparency requirements, and oversight are essential to mitigate filter bubbles and disinformation campaigns.",Responsibility,Higher,complete,
Actor,AI Developer (Specialized AI),"Specialized developers are also highly responsible when they operate in domains such as media, education, or healthcare.",Responsibility,Higher,complete,
Actor,AI User,"Users and affected stakeholders cannot reasonably be held responsible, as they lack systemic influence.",Responsibility,Lower,complete,
Actor,Affected Stakeholder,"Users and affected stakeholders cannot reasonably be held responsible, as they lack systemic influence.",Responsibility,Lower,complete,
Actor,General,"Independent fact-checking bodies and journalistic organizations should also be included as responsible actors, as they provide critical safeguards for truth, verification, and public trust.",Responsibility,Higher,complete,"suggestion of additional actors, potentially not relevant for updating assessments, exclude (?)"
