Category Type,Category,Quote,Criteria,Direction,QA Status,Comments
Actor,General,Vulnerability diminishes (relatively speaking) with repeatability of macro-processes,Vulnerability,Lower,complete,
Actor,AI User,Smaller part of responsibility to users who have to step up learning efforts to reinforce discernment and ability to interpret information,Responsibility,Higher,complete,
Sector,Information,"The most vulnerable sectors to large-scale disinformation, surveillance, and influence are information/media, healthcare, education, and national security, as they are frequent targets of manipulation with systemic consequences for trust, health, democracy, and stability.",Vulnerability,Higher,complete,
Sector,Health Care and Social Assistance,"The most vulnerable sectors to large-scale disinformation, surveillance, and influence are information/media, healthcare, education, and national security, as they are frequent targets of manipulation with systemic consequences for trust, health, democracy, and stability.",Vulnerability,Higher,complete,
Sector,Educational Services,"The most vulnerable sectors to large-scale disinformation, surveillance, and influence are information/media, healthcare, education, and national security, as they are frequent targets of manipulation with systemic consequences for trust, health, democracy, and stability.",Vulnerability,Higher,complete,
Sector,National Security,"The most vulnerable sectors to large-scale disinformation, surveillance, and influence are information/media, healthcare, education, and national security, as they are frequent targets of manipulation with systemic consequences for trust, health, democracy, and stability.",Vulnerability,Higher,complete,
Sector,Finance and Insurance,"Finance, public administration, science, and arts are also highly exposed, since campaigns often target them to destabilize economies, institutions, and cultural identity.",Vulnerability,Higher,complete,
Sector,Public Administration excluding National Security,"Finance, public administration, science, and arts are also highly exposed, since campaigns often target them to destabilize economies, institutions, and cultural identity.",Vulnerability,Higher,complete,
Sector,Scientific Services,"Finance, public administration, science, and arts are also highly exposed, since campaigns often target them to destabilize economies, institutions, and cultural identity.",Vulnerability,Higher,complete,
Sector,"Arts, Entertainment, and Recreation","Finance, public administration, science, and arts are also highly exposed, since campaigns often target them to destabilize economies, institutions, and cultural identity.",Vulnerability,Higher,complete,
Sector,"Agriculture, Mining, Construction and Manufacturing","By contrast, manufacturing, real estate, and accommodation services are less vulnerable, with only marginal exposure.",Vulnerability,Lower,complete,
Sector,Real Estate and Rental and Leasing,"By contrast, manufacturing, real estate, and accommodation services are less vulnerable, with only marginal exposure.",Vulnerability,Lower,complete,
Sector,"Accommodation, Food, and Other Services","By contrast, manufacturing, real estate, and accommodation services are less vulnerable, with only marginal exposure.",Vulnerability,Lower,complete,
Actor,AI Developer (General-purpose AI),"My assessments emphasize that general-purpose developers and deployers are primarily responsible, since they design and operate the systems most often misused in large-scale disinformation and surveillance campaigns.",Responsibility,Higher,complete,
Actor,AI Deployer,"My assessments emphasize that general-purpose developers and deployers are primarily responsible, since they design and operate the systems most often misused in large-scale disinformation and surveillance campaigns.",Responsibility,Higher,complete,
Actor,AI Developer (Specialized AI),"Specialized developers are highly responsible in domains like media, intelligence, and politics, where misuse directly affects democratic stability.",Responsibility,Higher,complete,
Actor,AI Governance Actor,"Governance actors are also highly responsible, as regulation and oversight are vital to counter systemic manipulation.",Responsibility,Higher,complete,
Actor,AI Infrastructure Provider,"Infrastructure providers have moderate responsibility, since their platforms can be exploited for mass surveillance.",Responsibility,Higher,complete,
Actor,AI User,"Users and affected stakeholders should not be held responsible, as they are the main targets.",Responsibility,Lower,complete,
Actor,Affected Stakeholder,"Users and affected stakeholders should not be held responsible, as they are the main targets.",Responsibility,Lower,complete,
Actor,General,"Additionally, international organizations and election monitoring bodies should be recognized as responsible actors, as they provide critical transnational coordination and democratic safeguards.",Responsibility,Higher,complete,
Actor,General,"I'm somewhat unsure what it means for a sector to be vulnerable, i.e. who is the ""actor"" to be considered within a sector? The companies? Those working in those companies? The customers who use the services within a sector?",Vulnerability,Neutral,complete,methods critique 
Sector,Information,...the scalability of disinformation with AI systems will likely pose increasing complications to those in the information sector as open-source models becoming increasingly more capable and cheap to run.,Vulnerability,Higher,complete,
Actor,AI Developer (General-purpose AI),"Generation of straightforwardly false information is less of a worry here, and it's more the presentation of facts that are true in a misleading way. Given that's the case, it seems quite hard for developers to be able to address this risk fully as there likely needs to be some sort of larger regulatory coordination to set forward a policy that would apply across actors.",Responsibility,Lower,complete,
Actor,AI Developer (General-purpose AI),"Developers do have an opportunity to take some actions which can be beneficial to the larger aims here, like ensuring AI outputs are watermarked, which would aid such efforts.",Responsibility,Higher,complete,
Actor,General,None,,,complete,"empty, remove "
Actor,General,None,,,complete,"empty, remove "
Actor,General,These are function of sensitivity to broad sources of information.,Vulnerability,Neutral,complete,"remove, not likely to be useful "
Actor,General,Omission,,,complete,"empty, remove "
Actor,General,Omission,,,complete,"empty, remove "
Actor,AI Developer (General-purpose AI),"• AI Developer (General-purpose and Specialized): These actors hold direct control over models capable of language manipulation, data harvesting, and automated influence at scale. Their tools may unintentionally empower malicious use even without direct intent, especially when open-sourced or made publicly available.",Responsibility,Higher,complete,
Actor,AI Developer (Specialized AI),"• AI Developer (General-purpose and Specialized): These actors hold direct control over models capable of language manipulation, data harvesting, and automated influence at scale. Their tools may unintentionally empower malicious use even without direct intent, especially when open-sourced or made publicly available.",Responsibility,Higher,complete,
Actor,AI Infrastructure Provider,"• AI Infrastructure Provider: While not directly involved in content generation, their backend systems (e.g., cloud platforms, compute services, data centers) enable scalability and automation. If compromised or poorly governed, they can silently empower widespread disinformation operations.",Responsibility,Higher,complete,
Actor,Affected Stakeholder,"• Affected Stakeholder: This group includes everyday users, marginalized populations, or entities with minimal power to counter AI influence — making them especially vulnerable to being surveilled, manipulated, or silenced.",Vulnerability,Higher,complete,
Sector,Information,"• Information, Education, Arts & Entertainment Sectors: All highly susceptible due to their role in shaping narratives, hosting user-generated content, or amplifying social messaging. Influence campaigns often originate or flourish here.",Vulnerability,Higher,complete,
Sector,Educational Services,"• Information, Education, Arts & Entertainment Sectors: All highly susceptible due to their role in shaping narratives, hosting user-generated content, or amplifying social messaging. Influence campaigns often originate or flourish here.",Vulnerability,Higher,complete,
Sector,"Arts, Entertainment, and Recreation","• Information, Education, Arts & Entertainment Sectors: All highly susceptible due to their role in shaping narratives, hosting user-generated content, or amplifying social messaging. Influence campaigns often originate or flourish here.",Vulnerability,Higher,complete,
Sector,National Security,"• National Security & Scientific R&D: These hold dual vulnerabilities — as targets of adversarial disinformation and as potential hosts of proprietary tools that could be misused. Sophisticated actors may exploit their tools, findings, or operations for global influence.",Vulnerability,Higher,complete,
Sector,Scientific Services,"• National Security & Scientific R&D: These hold dual vulnerabilities — as targets of adversarial disinformation and as potential hosts of proprietary tools that could be misused. Sophisticated actors may exploit their tools, findings, or operations for global influence.",Vulnerability,Higher,complete,
Sector,Real Estate and Rental and Leasing,"• Real Estate Sector (Minimally vulnerable): This sector remains largely disconnected from political, informational, or social narrative manipulation, with limited exposure to AI-based influence operations.",Vulnerability,Lower,complete,
Actor,General,"My responsibility assessments reflect both technical and epistemic concerns. When assessing responsibility, I considered not just who creates or deploys models, but who shapes the information ecosystem they live within.",Responsibility,Neutral,complete,
Actor,General,The structural asymmetry between data visibility and accountability — particularly in SEO control and ranking infrastructure — enables scaled disinformation while obscuring traceability.,Responsibility,Higher,complete,"not likely to be useful for experts in updating their assessments, suggest removing"
Actor,General,"We must expand our risk frameworks to include these systemic forces, not just model developers. Without structural alignment, technical safeguards are insufficient.",Responsibility,Higher,complete,"not likely to be useful for experts in updating their assessments, suggest removing"
Actor,General,Hard to find a sector that would not be vulnerable to influence at scale,Vulnerability,Higher,complete,
Actor,General,"In general I still consider the risk level low because I believe advanced AI does not give that much of an uplift for bad actors compared to already existing statistics based methods, also because people have built up significant resilience.",Vulnerability,Lower,complete,
Actor,AI Governance Actor,I generally believe that many things that are technically possible need to be banned (some jurisdictions are further along than others in this). The market left by itself will not create the right outcomes.,Responsibility,Higher,complete,
Actor,AI Governance Actor,"I think there's a category error by including AI Governance Actors in this assessment. They're different in kind of users developers and deployers. They're more like a sector, if anything.",Responsibility,Neutral,complete,"methods critique, not likely to be useful - remove"
Sector,Information,"The choice of Information, Education, Nat Sec, Health, and Scientific Research as high exposure areas all rely on the fact that these are domains where there is a need for a high degree of information quality and also where funding and outcomes of research or output from each industry may be subject to public perception of the industry.

While information poisoning attacks may directly affect these industries/ ability to function properly and may undermine the quality of data and information, targeted propaganda aimed at the public or specific sectors of society to undermine the output of the industry would be the primary concern here. A good example of this is climate change disinformation undermining the impact and funding of climate science professionals.",Vulnerability,Higher,complete,
Sector,Educational Services,"The choice of Information, Education, Nat Sec, Health, and Scientific Research as high exposure areas all rely on the fact that these are domains where there is a need for a high degree of information quality and also where funding and outcomes of research or output from each industry may be subject to public perception of the industry.

While information poisoning attacks may directly affect these industries/ ability to function properly and may undermine the quality of data and information, targeted propaganda aimed at the public or specific sectors of society to undermine the output of the industry would be the primary concern here. A good example of this is climate change disinformation undermining the impact and funding of climate science professionals.",Vulnerability,Higher,complete,
Sector,National Security,"The choice of Information, Education, Nat Sec, Health, and Scientific Research as high exposure areas all rely on the fact that these are domains where there is a need for a high degree of information quality and also where funding and outcomes of research or output from each industry may be subject to public perception of the industry.

While information poisoning attacks may directly affect these industries/ ability to function properly and may undermine the quality of data and information, targeted propaganda aimed at the public or specific sectors of society to undermine the output of the industry would be the primary concern here. A good example of this is climate change disinformation undermining the impact and funding of climate science professionals.",Vulnerability,Higher,complete,
Sector,Health Care and Social Assistance,"The choice of Information, Education, Nat Sec, Health, and Scientific Research as high exposure areas all rely on the fact that these are domains where there is a need for a high degree of information quality and also where funding and outcomes of research or output from each industry may be subject to public perception of the industry.

While information poisoning attacks may directly affect these industries/ ability to function properly and may undermine the quality of data and information, targeted propaganda aimed at the public or specific sectors of society to undermine the output of the industry would be the primary concern here. A good example of this is climate change disinformation undermining the impact and funding of climate science professionals.",Vulnerability,Higher,complete,
Sector,Scientific Services,"The choice of Information, Education, Nat Sec, Health, and Scientific Research as high exposure areas all rely on the fact that these are domains where there is a need for a high degree of information quality and also where funding and outcomes of research or output from each industry may be subject to public perception of the industry.

While information poisoning attacks may directly affect these industries/ ability to function properly and may undermine the quality of data and information, targeted propaganda aimed at the public or specific sectors of society to undermine the output of the industry would be the primary concern here. A good example of this is climate change disinformation undermining the impact and funding of climate science professionals.",Vulnerability,Higher,complete,
