Category,Type,Quote,Criteria ,Direction,QA  Status
Actor,AI Developer (General-purpose AI),General-purpose AI developers are primarily responsible as their design choices directly affect model transparency across applications.,responsibility,higher,complete
Actor,AI Developer (General-purpose AI),AI developer was rated as primarily responsible because they are often the only ones in the pipeline that have the actual capability to make AI decisions transparent and interpretable,responsibility,higher,complete
Actor,AI Developer (General-purpose AI),[1] AI Developers - Primarily Responsible: I rated AI developers as primarily responsible because they are the actors who implement the prompt revision processes and design the system prompts that govern model behavior. They have direct control over these mechanisms and therefore bear the primary responsibility for being transparent about what system prompts they use and how their prompt revision processes function.,responsibility,higher,complete
Actor,AI Developer (General-purpose AI),"AI Developers are responsible for the quality of their products, and transparency/interpretability can greatly assist in evaluating the quality.",responsibility,higher,complete
Actor,AI Developer (General-purpose AI),"Again, AI developers are primarily responsible since they would be the ones researching foundational interpretability methods. Deployers and governance have some influence over setting standards, but developers are the ones actually researching these methods.",responsibility,higher,complete
Actor,AI Developer (General-purpose AI),General-purpose AI Developers were marked as primarily responsible because they architect the foundational logic of systems used across sectors.,responsibility,higher,complete
Actor,AI Developer (General-purpose AI),Transparency and interpretability are ultimately technical issues at their base and so developers are most responsible along with deployers who have the opportunity to enhance interpretability and transparency in deploying the model.,responsibility,higher,complete
Actor,AI Developer (General-purpose AI),The primarily bottlenecks to transparency and interpretability sit at the model development stage. It is primarily up to developers and policymakers to ensure that the right technology gets developed.,responsibility,higher,complete
Actor,AI Developer (General-purpose AI),"Developers have the capability and causal influence to be transparent, and the obligation to. However, they usually will not due to fiduciary duties to stakeholders that incentivize these organizations to limit transparency to limit liability.",responsibility,lower,complete
Actor,AI Developer (General-purpose AI),"Technical transparency (developers), regulatory requirements (governance), and implementation practices (deployers) must all align.",general comment,general comment,complete
Actor,AI Developer (General-purpose AI),"Lower rates are given to either actors who do not have access to the technology to be able to practically address the risk or are enablers. Higher rates are given to actors who have responsibility in the design, development, and deployment of the AI systems and hence have the means to mitigate the lack of transparency and interpretability risk.",responsibility,higher,complete
Actor,AI Developer (Specialized AI),Specialized AI developers and deployers are highly responsible for ensuring interpretability in domain-specific contexts and for users' decision-making.,responsibility,higher,complete
Actor,AI Deployer,Specialized AI developers and deployers are highly responsible for ensuring interpretability in domain-specific contexts and for users' decision-making.,responsibility,higher,complete
Actor,AI Deployer,"[2] AI Deployers - Highly Responsible: I rated AI deployers as highly responsible because they have the power to make informed choices about which AI systems to implement. They can choose to use only open-sourced models with higher transparency and interpretability, or they can choose to collaborate exclusively with developers and companies who disclose their system prompts.",responsibility,higher,complete
Actor,AI Deployer,AI Deployers and Governance Actors are highly responsible because they choose how to implement and oversee these systems.,responsibility,higher,complete
Actor,AI Deployer,Transparency and interpretability are ultimately technical issues at their base and so developers are most responsible along with deployers who have the opportunity to enhance interpretability and transparency in deploying the model.,responsibility,higher,complete
Actor,AI Deployer,Deployers can help by stating the provenance of their data/model systems and the contexts they sourced it from and how they have tweaked it and expect it to be useful,responsibility,higher,complete
Actor,AI Deployer,"Without transparency, organizations developing and deploying AI can not be held accountable by AI Governance organizations... AI deployers are also at risk, as they may not know what they are actually deploying and making available to customers, and without clear liability guidance, they may be liable for any harms caused.",vulnerability,higher,complete
Actor,AI Governance Actor,"Governance actors also hold high responsibility, as they must enforce interpretability standards and accountability mechanisms.",responsibility,higher,complete
Actor,AI Governance Actor,Governance actors must ensure strict controls and testing around that.,responsibility,higher,complete
Actor,AI Governance Actor,"[3] AI Governance Actors - Primarily Responsible: I rated governance actors as primarily responsible because they possess the greatest power to address this issue through policy, regulation and law. They can push forward laws and policies that require companies to be transparent about their system prompts and prompt revision processes. Additionally, they can mandate that companies provide access to base model behavior without prompt revision at least in the model evaluation process, ensuring that evaluators and researchers can assess true model capabilities. Governance actors ultimately hold the most significant power in ensuring transparency and interpretability across the AI ecosystem.",responsibility,higher,complete
Actor,AI Governance Actor,"[2] AI Governance Actors - Extremely Vulnerable: AI governance actors face extreme vulnerability because many AI researchers and evaluators are unaware that prompts are being revised and do not know what system prompts govern the revision process or what system prompts AI companies use generally. This transparency gap raises questions about model evaluation: Are we assessing model behavior after prompt revision or before? Without reliable methods to disable revision processes and evaluate base model behavior, governance and evaluation become compromised. Evaluators may assess a model as reliable, but the automatic revision process could introduce unknown bias. They cannot predict how the model will behave if users circumvent the revision system, creating significant governance vulnerabilities.",vulnerability,higher,complete
Actor,AI Governance Actor,AI Deployers and Governance Actors are highly responsible because they choose how to implement and oversee these systems.,responsibility,higher,complete
Actor,AI Governance Actor,Governance actors are highly responsible for ensuring deployers and developers follow best practices to ensure these norms.,responsibility,higher,complete
Actor,AI Governance Actor,Therefore governments and policy makers are responsible for developing rules to ensure that these organizations are transparent.,responsibility,higher,complete
Actor,AI Governance Actor,"I think there's a category error by including AI Governance Actors in this assessment. They're different in kind of users developers and deployers. They're more like a sector, if anything.",general comment,general comment,complete
Actor,AI Infrastructure Provider,Infrastructure providers have moderate responsibility by enabling or constraining access to tools that support transparency.,responsibility,higher,complete
Actor,AI User,"Users and affected stakeholders have minimal or no responsibility, as they lack the structural capacity to address systemic transparency gaps",responsibility,lower,complete
Actor,AI User,"The only way transparency will be available is when users (consumers) demand it, as was the case with (SBoM's) or Software Bill of Materials.",responsibility,higher,complete
Actor,AI User,Users often lack insights that could be gained from manufacturers making their algorithms clear and predictable.,responsibility,lower,complete
